#SampleID	BarcodeSequence	LinkerPrimerSequence	SOURCE_ENV	Env	SourceSink	RUN_DATE	TITLE	STUDY_CENTER	COUNTRY	PMID	LAB_PERSON	LAB_PERSON_CONTACT	PRINCIPAL_INVESTIGATOR	PRINCIPAL_INVESTIGATOR_CONTACT	ENV_FEATURE	ENV_BIOME	SEQUENCING_METH	ENV_MATTER	TARGET_GENE	TARGET_SUBFRAGMENT	LOCATION	LATITUDE	LONGITUDE	MEAN_ANN_TEMP	MEAN_ANN_PRECIP	NET_PRIMARY_PROD	ELEVATION	RESIDENCE	NUM_BEDROOMS
42.I			EDMOND	OK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	42	35.6	-97.5	16.20550459	71.10703364	0.639725923	313.6911011	One-family house detached from any other house	3
43.I			FAIRFIELD	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	43	38.4	-88.4	13.21796636	87.52683486	1.065225621	126.6911087	One-family house detached from any other house	2
44.I			Jefferson	ME	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	44	44.2	-69.5	6.671330275	95.28608563	1.977551487	68.29943848	One-family house detached from any other house	2
46.I			Red Bank	NJ	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	46	40.4	-74.1	11.50688073	97.69892966	1.916603583	30.44665909	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
47.I			Cleveland	OH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	47	41.5	-81.8	9.56146789	75.65718654	NA	283.1663818	One-family house detached from any other house	4
48.I			Honolulu	HI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	48	21.3	-157.8	22.55840979	76.67889908	NA	178.6537476	"High rise apartment (multiple units, with 5 or more stories)"	2
49.I			Thorne Bay 	AK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	49	55.7	-132.5	6.005275229	163.9807339	1.04478347	266.5290222	One-family house detached from any other house	3
50.I			Reedsville	WV	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	50	39.5	-79.8	10.47224771	93.0866208	2.201279529	471.0052795	One-family house detached from any other house	3
51.I			Dedham	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	51	42.2	-71.1	9.388990826	94.63203364	NA	52.88596344	One-family house detached from any other house	2
52.I			Tucson	AZ	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	52	32.2	-111	20.41834862	22.03715596	0.306405209	762.9927979	One-family house detached from any other house	3
53.I			Jersey City	NJ	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	53	40.7	-74.1	11.15	97.4837156	2.213204125	60.80302048	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
54.I			Brooklyn	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	54	40.7	-74	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	3
55.I			Tappan	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	55	41	-73.9	10.60825688	101.411315	2.213204125	127.7934723	One-family house detached from any other house	3
56.I			Washington	DC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	56	39	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
57.I			New York	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	57	40.7	-74	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
58.I			Amherst	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	58	42.4	-72.5	8.512844037	94.40588685	2.191815567	198.4830627	One-family house detached from any other house	3
59.I			macon	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	59	32.7	-83.7	18.10107034	95.51941896	2.086765599	130.1658325	One-family house detached from any other house	3
60.I			Glennallen	AK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	60	62.1	-146.4	-2.903669725	38.66727829	0.514801634	728.3925171	One-family house detached from any other house	1
61.I			New York	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	61	40.8	-74	11.81796636	92.61200306	2.213204125	23.8580265	"High rise apartment (multiple units, with 5 or more stories)"	2
62.I			Long Island CIty	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	62	40.7	-73.9	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
63.I			Romney	WV	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	63	39.3	-78.8	11.51085627	81.63058104	2.057427327	401.2008362	One-family house detached from any other house	4
65.I			Brooklyn	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	65	40.7	-74	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
66.I			Portland	ME	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	66	43.7	-70.3	7.452217125	90.46429664	2.157556027	56.46136093	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
67.I			Jackson Heights	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	67	40.7	-73.9	11.81796636	92.61200306	2.213204125	23.8580265	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
70.I			Reno	NV	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	70	39.4	-119.6	7.274770642	39.70099388	0.299023321	1835.525024	One-family house detached from any other house	3
72.I			boise	ID	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	72	43.6	-116.2	9.471559633	35.03555046	0.585970623	1087.946655	One-family house detached from any other house	4
74.I			Cable	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	74	46.2	-91.1	4.761009174	56.45	2.052127496	398.8336182	One-family house detached from any other house	4
75.I			Janesville	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	75	40.3	-120.5	9.422706422	34.1074159	0.355428528	1461.269775	One-family house detached from any other house	3
76.I			moselle	MS	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	76	31.5	-89.4	18.38256881	119.1644495	2.133517574	89.10722351	One-family house detached from any other house	3
77.I			Washington	DC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	77	38.9	-77	14.01888379	87.26605505	1.81817838	64.78483582	One-family house attached to one or more houses (e.g. a townhouse or condominium)	4
78.I			Chicken	AK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	78	64.1	-141.8	-6.927675841	14.16506116	0.52407632	790.1705322	One-family house detached from any other house	1
81.I			Albuquerque	NM	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	81	35.1	-106.6	10.76146789	26.16360856	0.621555117	1708.676392	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
88.I			Bowman	SC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	88	33.4	-80.7	18.16391437	98.39495413	2.034335257	37.77555466	One-family house detached from any other house	3
90.I			Houston	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	90	29.7	-95.4	20.45542813	93.55756881	2.567534829	14.17661858	"Low rise apartment (multiple units, with 4 or fewer stories)"	1
93.I			Arlington Heights	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	93	42.1	-88	9.173165138	70.7617737	NA	189.6425018	One-family house detached from any other house	4
95.I			Washington	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	95	40.7	-89.4	10.37446483	73.36498471	0.902445487	217.1658325	One-family house detached from any other house	2
100.I			albuquerque	NM	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	100	35.1	-106.7	10.76146789	26.16360856	0.281041793	1708.676392	One-family house attached to one or more houses (e.g. a townhouse or condominium)	3
101.I			Atlanta	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	101	33.8	-84.3	16.65221713	102.9034404	2.095661718	274.2244568	One-family house detached from any other house	2
102.I			Jamaica Plain	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	102	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
106.I			Huntsville	AL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	106	34.7	-86.7	15.94151376	114.7675076	1.581957906	220.6450043	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
107.I			Detroit	MI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	107	42.3	-83.1	9.307874618	67.98195719	1.139612358	191.672226	"High rise apartment (multiple units, with 5 or more stories)"	1
109.I			New York	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	109	40.8	-74	11.81796636	92.61200306	2.213204125	23.8580265	"High rise apartment (multiple units, with 5 or more stories)"	1
112.I			Brighton	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	112	42.3	-71.2	9.388990826	94.63203364	1.966573293	52.88596344	"High rise apartment (multiple units, with 5 or more stories)"	1
114.I			washington	DC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	114	39	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	"High rise apartment (multiple units, with 5 or more stories)"	1
115.I			Somerville	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	115	42.4	-71.1	9.388990826	94.63203364	NA	52.88596344	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
118.I			Fremont	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	118	35.6	-78	15.61567278	103.8310398	1.19734252	29.16361046	One-family house detached from any other house	5
119.I			King 	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	119	36.4	-80.3	14.2883792	90.05229358	2.390558752	275.8555603	One-family house detached from any other house	3
121.I			Seattle	WA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	121	47.6	-122.3	11.1014526	79.94380734	2.608986975	84.25081635	One-family house attached to one or more houses (e.g. a townhouse or condominium)	1
123.I			Wichita	KS	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	123	37.7	-97.5	13.80764526	65.90351682	0.809509391	409.2113953	One-family house detached from any other house	4
127.I			Arlington	VA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	127	38.9	-77.1	14.01888379	87.26605505	1.81817838	64.78483582	One-family house detached from any other house	6 or more
128.I			Wheat Ridge	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	128	39.8	-105.1	6.594877676	32.73715596	0.720737433	2119.006104	One-family house detached from any other house	4
129.I			Bethlehem	PA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	129	40.6	-75.4	9.728287462	96.59143731	2.212825568	179.5874939	One-family house detached from any other house	3
131.I			Garner	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	131	35.7	-78.6	15.40512232	94.05412844	2.156420352	96.75722504	One-family house detached from any other house	3
132.I			Fremont	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	132	37.5	-121.9	13.85175841	44.68448012	1.116520292	247.8677826	One-family house detached from any other house	4
133.I			Washburn	WI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	133	45.9	-91.8	5.420183486	55.36536697	1.707260746	374.1994324	One-family house detached from any other house	3
134.I			Chicago	IL	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	134	41.7	-87.7	9.759174312	71.12874618	NA	193.5566711	One-family house detached from any other house	3
136.I			Georgetown	KY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	136	38.2	-84.6	12.66391437	90.56704893	1.379807691	245.2419434	One-family house detached from any other house	3
137.I			Littleton	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	137	39.6	-105.1	6.594877676	32.73715596	0.793231381	2119.006104	One-family house detached from any other house	2
139.I			Bozeman	MT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	139	45.6	-111	6.116437309	36.17744648	0.632911872	1528.734985	One-family house detached from any other house	3
140.I			Dallas	TX	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	140	33	-96.8	18.8132263	75.17469419	0.778656872	155.8502808	One-family house detached from any other house	4
141.I			Waldron	WA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	141	48.8	-122.5	9.857798165	63.85282875	1.958244997	60.28440475	One-family house detached from any other house	2
142.I			Columbia	MO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	142	38.9	-92.3	12.78172783	79.97920489	1.027937615	221.4455566	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
143.I			Chico	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	143	39.7	-121.8	14.7559633	71.67958716	1.623220774	300.1264038	One-family house detached from any other house	4
144.I			Efland	NC	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	144	36	-79.2	14.44793578	93.73470948	1.297092668	190.2480621	One-family house detached from any other house	3
145.I			Ankeny	IA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	145	41.7	-93.6	9.632492355	67.21873089	0.791527867	290.4547119	One-family house detached from any other house	5
